name,lat,lon,plt_id,max_age,pygp_pts,pygp_feature
830000fffffffff,79.24239850975904,38.02340700796988,311,400.0,"(0.147039, 0.114976, 0.982426)",<pygplates.pygplates.Feature object at 0x7f0ef6f0e3c0>
830001fffffffff,80.11677141025228,34.26932302338498,311,400.0,"(0.141844, 0.0966481, 0.98516)",<pygplates.pygplates.Feature object at 0x7f0ef6f0e430>
830002fffffffff,79.24756210656105,43.75098847490955,350,550.0,"(0.134766, 0.129015, 0.982442)",<pygplates.pygplates.Feature object at 0x7f0ef6f0e4a0>
830003fffffffff,80.1909572143392,40.49488067269092,311,400.0,"(0.129556, 0.110632, 0.985381)",<pygplates.pygplates.Feature object at 0x7f0ef6f0e510>
830004fffffffff,78.28997925905192,35.9758018082166,311,400.0,"(0.164247, 0.119227, 0.979187)",<pygplates.pygplates.Feature object at 0x7f0ef6f0e580>
830005fffffffff,79.13458591331715,32.413649910715186,311,400.0,"(0.159134, 0.101043, 0.982073)",<pygplates.pygplates.Feature object at 0x7f0ef6f0e5f0>
830006fffffffff,78.33211415004435,41.200606333823345,350,550.0,"(0.152166, 0.133214, 0.979336)",<pygplates.pygplates.Feature object at 0x7f0ef6f0e660>
83000afffffffff,82.0750475074552,39.444406463504656,311,55.0,"(0.106473, 0.0875966, 0.99045)",<pygplates.pygplates.Feature object at 0x7f0ef6f0e6d0>
83000cfffffffff,80.94319884056398,29.808287305095444,311,55.0,"(0.136587, 0.0782502, 0.987533)",<pygplates.pygplates.Feature object at 0x7f0ef6f0e740>
83000dfffffffff,81.70598054219595,24.49208901585841,311,55.0,"(0.131273, 0.0598026, 0.989541)",<pygplates.pygplates.Feature object at 0x7f0ef6f0e7b0>
83000efffffffff,81.0988307976139,36.5589999989751,311,55.0,"(0.124286, 0.0921653, 0.987957)",<pygplates.pygplates.Feature object at 0x7f0ef6f0e820>
830010fffffffff,78.12815469994874,51.704538269486584,350,550.0,"(0.12749, 0.161457, 0.97861)",<pygplates.pygplates.Feature object at 0x7f0ef6f0e890>
830011fffffffff,79.14678868406267,49.48433311828838,350,550.0,"(0.122326, 0.143146, 0.982113)",<pygplates.pygplates.Feature object at 0x7f0ef6f0e900>
830012fffffffff,77.8817671649003,56.810954195432345,350,550.0,"(0.114916, 0.175684, 0.977716)",<pygplates.pygplates.Feature object at 0x7f0ef6f0e970>
830013fffffffff,78.94009507357545,55.11071029260546,350,550.0,"(0.109728, 0.157355, 0.981427)",<pygplates.pygplates.Feature object at 0x7f0ef6f0e9e0>
830014fffffffff,77.29164486751961,48.77254769988298,350,550.0,"(0.144983, 0.165453, 0.975502)",<pygplates.pygplates.Feature object at 0x7f0ef6f0ea50>
